snailA,snailB,snailC,snailD,votes,completed,posted,twitteruser,url
17,28,42,13,5230,yes,2017-05-01,@z_Synthesis_z,https://twitter.com/z_Synthesis_z/status/859069520983597056
16,28,42,14,1451,yes,2017-04-28,@OneRyanWheeler,https://twitter.com/OneRyanWheeler/status/857930903703695362
20,28,40,12,640,yes,2017-04-26,@_xl_prz,https://twitter.com/_xLprz/status/857014118246567936
15,28,48,9,10991,yes,2017-04-25,@DELICIOUSFOODS,https://twitter.com/DELIClOUSFOODS/status/856786896843919360
14,30,41,15,123516,yes,2017-04-25,@RicchOffMackin,https://twitter.com/RicchOffMackin/status/856774296777113600
15,31,43,11,2590,yes,2017-04-15,@6thGloKage,https://twitter.com/6thGloKage/status/853298931031306240
14,31,41,14,2484,yes,2017-03-28,@ililuhms,https://twitter.com/liliuhms/status/846502519123652612
19,38,36,7,768,yes,2017-03-27,@Sanni_Official,https://twitter.com/Sanni_Official/status/846483658164776960
20,32,38,10,559,yes,2017-03-21,@lemongrasskiddo,https://twitter.com/lemongrasskiddo/status/844085112232857600
21,27,37,15,96312,yes,2016-09-23,@snailracingg,https://twitter.com/snailracingg/status/778832508922146816
20,28,38,14,10879,yes,2016-09-25,@snailracingg,https://twitter.com/snailracingg/status/779940558286446592
18,27,39,16,17067,yes,2016-09-26,@snailracingg,https://twitter.com/snailracingg/status/780467074820820992
19,30,36,15,3871,yes,2016-10-06,@snailracingg,https://twitter.com/snailracingg/status/783824037554196480
18,27,39,16,17376,yes,2016-10-14,@snailracingg,https://twitter.com/snailracingg/status/786966222789152768
17,26,42,15,8177,yes,2016-10-26,@snailracingg,https://twitter.com/snailracingg/status/791133270767460352
20,26,38,16,1940,yes,2016-11-09,@snailracingg,https://twitter.com/snailracingg/status/796261271368675328
17,27,42,14,41695,yes,2016-11-11,@snailracingg,https://twitter.com/snailracingg/status/797199393430519808
17,25,42,16,2382,yes,2016-11-16,@snailracingg,https://twitter.com/snailracingg/status/798733722262478848
16,25,42,17,1996,yes,2016-11-20,@snailracingg,https://twitter.com/snailracingg/status/800207867907186688
16,26,43,15,1803,yes,2016-11-23,@snailracingg,https://twitter.com/snailracingg/status/801302504571072512
17,24,43,16,2985,yes,2016-11-24,@snailracingg,https://twitter.com/snailracingg/status/801686444272013312
17,25,43,15,1933,yes,2016-11-28,@snailracingg,https://twitter.com/snailracingg/status/803083548588527616
13,34,40,13,948,yes,2018-02-04,@snailracingg,https://twitter.com/snailracingg/status/960238411876651008
