subject,item,factor1,factor2,rating
24,24,Baseline,Present,7
24,1,Treatment,Absent,5
24,2,Treatment,Absent,6
24,3,Treatment,Absent,6
24,4,Treatment,Absent,3
24,5,Treatment,Absent,6
24,6,Treatment,Absent,4
24,7,Treatment,Present,3
24,8,Treatment,Present,1
24,9,Treatment,Present,1
24,10,Treatment,Present,3
24,11,Treatment,Present,4
24,12,Treatment,Present,2
25,13,Baseline,Absent,7
25,14,Baseline,Absent,7
25,15,Baseline,Absent,7
25,16,Baseline,Absent,5
25,17,Baseline,Absent,7
25,18,Baseline,Absent,5
25,19,Baseline,Present,7
25,20,Baseline,Present,6
25,21,Baseline,Present,6
25,22,Baseline,Present,6
25,23,Baseline,Present,6
25,24,Baseline,Present,6
25,1,Treatment,Absent,5
25,2,Treatment,Absent,4
25,3,Treatment,Absent,3
25,4,Treatment,Absent,4
25,5,Treatment,Absent,3
25,6,Treatment,Absent,4
25,7,Treatment,Present,1
25,8,Treatment,Present,3
25,9,Treatment,Present,1
25,10,Treatment,Present,2
25,11,Treatment,Present,4
25,12,Treatment,Present,1
26,13,Baseline,Absent,7
26,14,Baseline,Absent,5
26,15,Baseline,Absent,6
26,16,Baseline,Absent,6
26,17,Baseline,Absent,5
26,18,Baseline,Absent,7
26,19,Baseline,Present,6
26,20,Baseline,Present,7
26,21,Baseline,Present,6
26,22,Baseline,Present,7
26,23,Baseline,Present,5
26,24,Baseline,Present,7
26,1,Treatment,Absent,4
26,2,Treatment,Absent,3
26,3,Treatment,Absent,3
26,4,Treatment,Absent,3
26,5,Treatment,Absent,5
26,6,Treatment,Absent,3
26,7,Treatment,Present,4
26,8,Treatment,Present,3
26,9,Treatment,Present,3
26,10,Treatment,Present,4
26,11,Treatment,Present,4
26,12,Treatment,Present,3
27,13,Baseline,Absent,6
27,14,Baseline,Absent,5
27,15,Baseline,Absent,7
27,16,Baseline,Absent,5
27,17,Baseline,Absent,7
27,18,Baseline,Absent,5
27,19,Baseline,Present,7
27,20,Baseline,Present,7
27,21,Baseline,Present,5
27,22,Baseline,Present,5
27,23,Baseline,Present,5
27,24,Baseline,Present,7
27,1,Treatment,Absent,6
27,2,Treatment,Absent,3
27,3,Treatment,Absent,4
27,4,Treatment,Absent,6
27,5,Treatment,Absent,6
27,6,Treatment,Absent,4
27,7,Treatment,Present,4
27,8,Treatment,Present,3
27,9,Treatment,Present,3
27,10,Treatment,Present,4
27,11,Treatment,Present,4
27,12,Treatment,Present,2
28,13,Baseline,Absent,5
28,14,Baseline,Absent,5
28,15,Baseline,Absent,7
28,16,Baseline,Absent,5
28,17,Baseline,Absent,7
28,18,Baseline,Absent,5
28,19,Baseline,Present,5
28,20,Baseline,Present,7
28,21,Baseline,Present,5
28,22,Baseline,Present,6
28,23,Baseline,Present,5
28,24,Baseline,Present,5
28,1,Treatment,Absent,6
28,2,Treatment,Absent,6
28,3,Treatment,Absent,5
28,4,Treatment,Absent,3
28,5,Treatment,Absent,3
28,6,Treatment,Absent,6
28,7,Treatment,Present,3
28,8,Treatment,Present,3
28,9,Treatment,Present,1
28,10,Treatment,Present,3
28,11,Treatment,Present,4
28,12,Treatment,Present,4
29,13,Baseline,Absent,5
29,14,Baseline,Absent,6
29,15,Baseline,Absent,5
29,16,Baseline,Absent,7
29,17,Baseline,Absent,6
29,18,Baseline,Absent,5
29,19,Baseline,Present,6
29,20,Baseline,Present,7
29,21,Baseline,Present,7
29,22,Baseline,Present,6
29,23,Baseline,Present,7
29,24,Baseline,Present,7
29,1,Treatment,Absent,3
29,2,Treatment,Absent,6
29,3,Treatment,Absent,4
29,4,Treatment,Absent,4
29,5,Treatment,Absent,5
29,6,Treatment,Absent,4
29,7,Treatment,Present,1
29,8,Treatment,Present,4
29,9,Treatment,Present,3
29,10,Treatment,Present,3
29,11,Treatment,Present,2
29,12,Treatment,Present,4
30,13,Baseline,Absent,7
30,14,Baseline,Absent,5
30,15,Baseline,Absent,5
30,16,Baseline,Absent,7
30,17,Baseline,Absent,6
30,18,Baseline,Absent,7
30,19,Baseline,Present,6
30,20,Baseline,Present,7
30,21,Baseline,Present,6
30,22,Baseline,Present,5
30,23,Baseline,Present,5
30,24,Baseline,Present,5
30,1,Treatment,Absent,5
30,2,Treatment,Absent,6
30,3,Treatment,Absent,6
30,4,Treatment,Absent,5
30,5,Treatment,Absent,5
30,6,Treatment,Absent,3
30,7,Treatment,Present,3
30,8,Treatment,Present,3
30,9,Treatment,Present,2
30,10,Treatment,Present,2
30,11,Treatment,Present,2
30,12,Treatment,Present,2
31,19,Baseline,Absent,7
31,20,Baseline,Absent,6
31,21,Baseline,Absent,6
31,22,Baseline,Absent,5
31,23,Baseline,Absent,7
31,24,Baseline,Absent,6
31,13,Baseline,Present,6
31,14,Baseline,Present,5
31,15,Baseline,Present,7
31,16,Baseline,Present,6
31,17,Baseline,Present,6
31,18,Baseline,Present,6
31,7,Treatment,Absent,4
31,8,Treatment,Absent,5
31,9,Treatment,Absent,4
31,10,Treatment,Absent,6
31,11,Treatment,Absent,4
31,12,Treatment,Absent,4
31,1,Treatment,Present,2
31,2,Treatment,Present,4
31,3,Treatment,Present,3
31,4,Treatment,Present,1
31,5,Treatment,Present,2
31,6,Treatment,Present,4
32,19,Baseline,Absent,7
32,20,Baseline,Absent,6
32,21,Baseline,Absent,7
32,22,Baseline,Absent,6
32,23,Baseline,Absent,6
32,24,Baseline,Absent,5
32,13,Baseline,Present,5
32,14,Baseline,Present,5
32,15,Baseline,Present,6
32,16,Baseline,Present,5
32,17,Baseline,Present,6
32,18,Baseline,Present,7
32,7,Treatment,Absent,3
32,8,Treatment,Absent,4
32,9,Treatment,Absent,3
32,10,Treatment,Absent,3
32,11,Treatment,Absent,4
32,12,Treatment,Absent,3
32,1,Treatment,Present,1
32,2,Treatment,Present,2
32,3,Treatment,Present,1
32,4,Treatment,Present,4
32,5,Treatment,Present,4
32,6,Treatment,Present,1
33,19,Baseline,Absent,5
33,20,Baseline,Absent,5
33,21,Baseline,Absent,6
33,22,Baseline,Absent,5
33,23,Baseline,Absent,6
33,24,Baseline,Absent,6
33,13,Baseline,Present,5
33,14,Baseline,Present,7
33,15,Baseline,Present,5
33,16,Baseline,Present,5
33,17,Baseline,Present,7
33,18,Baseline,Present,6
33,7,Treatment,Absent,3
33,8,Treatment,Absent,3
33,9,Treatment,Absent,4
33,10,Treatment,Absent,6
33,11,Treatment,Absent,5
33,12,Treatment,Absent,3
33,1,Treatment,Present,3
33,2,Treatment,Present,4
33,3,Treatment,Present,4
33,4,Treatment,Present,4
33,5,Treatment,Present,4
33,6,Treatment,Present,2
34,19,Baseline,Absent,7
34,20,Baseline,Absent,7
34,21,Baseline,Absent,7
34,22,Baseline,Absent,5
34,23,Baseline,Absent,5
34,24,Baseline,Absent,6
34,13,Baseline,Present,7
34,14,Baseline,Present,6
34,15,Baseline,Present,5
34,16,Baseline,Present,7
34,17,Baseline,Present,6
34,18,Baseline,Present,6
34,7,Treatment,Absent,6
34,8,Treatment,Absent,5
34,9,Treatment,Absent,5
34,10,Treatment,Absent,6
34,11,Treatment,Absent,6
34,12,Treatment,Absent,4
34,1,Treatment,Present,3
34,2,Treatment,Present,4
34,3,Treatment,Present,1
34,4,Treatment,Present,3
34,5,Treatment,Present,3
34,6,Treatment,Present,1
35,19,Baseline,Absent,6
35,20,Baseline,Absent,7
35,21,Baseline,Absent,5
35,22,Baseline,Absent,5
35,23,Baseline,Absent,7
35,24,Baseline,Absent,5
35,13,Baseline,Present,6
35,14,Baseline,Present,7
35,15,Baseline,Present,7
35,16,Baseline,Present,5
35,17,Baseline,Present,5
35,18,Baseline,Present,7
35,7,Treatment,Absent,3
35,8,Treatment,Absent,6
35,9,Treatment,Absent,6
35,10,Treatment,Absent,4
35,11,Treatment,Absent,5
35,12,Treatment,Absent,3
35,1,Treatment,Present,2
35,2,Treatment,Present,4
35,3,Treatment,Present,4
35,4,Treatment,Present,3
35,5,Treatment,Present,4
35,6,Treatment,Present,4
36,19,Baseline,Absent,7
36,20,Baseline,Absent,7
36,21,Baseline,Absent,5
36,22,Baseline,Absent,5
36,23,Baseline,Absent,7
36,24,Baseline,Absent,6
36,13,Baseline,Present,5
36,14,Baseline,Present,6
36,15,Baseline,Present,7
36,16,Baseline,Present,7
36,17,Baseline,Present,5
36,18,Baseline,Present,7
36,7,Treatment,Absent,3
36,8,Treatment,Absent,3
36,9,Treatment,Absent,6
36,10,Treatment,Absent,4
36,11,Treatment,Absent,3
36,12,Treatment,Absent,6
36,1,Treatment,Present,4
36,2,Treatment,Present,1
36,3,Treatment,Present,1
36,4,Treatment,Present,4
36,5,Treatment,Present,1
36,6,Treatment,Present,2
37,19,Baseline,Absent,5
37,20,Baseline,Absent,7
37,21,Baseline,Absent,7
37,22,Baseline,Absent,6
37,23,Baseline,Absent,7
37,24,Baseline,Absent,7
37,13,Baseline,Present,5
37,14,Baseline,Present,7
37,15,Baseline,Present,5
37,16,Baseline,Present,5
37,17,Baseline,Present,7
37,18,Baseline,Present,7
37,7,Treatment,Absent,3
37,8,Treatment,Absent,4
37,9,Treatment,Absent,6
37,10,Treatment,Absent,5
37,11,Treatment,Absent,4
37,12,Treatment,Absent,4
37,1,Treatment,Present,1
37,2,Treatment,Present,2
37,3,Treatment,Present,2
37,4,Treatment,Present,3
37,5,Treatment,Present,4
37,6,Treatment,Present,2
38,19,Baseline,Absent,6
38,20,Baseline,Absent,5
38,21,Baseline,Absent,5
38,22,Baseline,Absent,7
38,23,Baseline,Absent,6
38,24,Baseline,Absent,7
38,13,Baseline,Present,7
38,14,Baseline,Present,5
38,15,Baseline,Present,5
38,16,Baseline,Present,5
38,17,Baseline,Present,5
38,18,Baseline,Present,6
38,7,Treatment,Absent,3
38,8,Treatment,Absent,6
38,9,Treatment,Absent,4
38,10,Treatment,Absent,3
38,11,Treatment,Absent,6
38,12,Treatment,Absent,3
38,1,Treatment,Present,1
38,2,Treatment,Present,1
38,3,Treatment,Present,2
38,4,Treatment,Present,4
38,5,Treatment,Present,3
38,6,Treatment,Present,2
39,19,Baseline,Absent,5
39,20,Baseline,Absent,5
39,21,Baseline,Absent,5
39,22,Baseline,Absent,6
39,23,Baseline,Absent,6
39,24,Baseline,Absent,6
39,13,Baseline,Present,7
39,14,Baseline,Present,6
39,15,Baseline,Present,5
39,16,Baseline,Present,6
39,17,Baseline,Present,5
39,18,Baseline,Present,7
39,7,Treatment,Absent,6
39,8,Treatment,Absent,5
39,9,Treatment,Absent,6
39,10,Treatment,Absent,3
39,11,Treatment,Absent,6
39,12,Treatment,Absent,5
39,1,Treatment,Present,4
39,2,Treatment,Present,2
39,3,Treatment,Present,3
39,4,Treatment,Present,2
39,5,Treatment,Present,1
39,6,Treatment,Present,3
40,19,Baseline,Absent,5
40,20,Baseline,Absent,7
40,21,Baseline,Absent,5
40,22,Baseline,Absent,5
40,23,Baseline,Absent,7
40,24,Baseline,Absent,6
40,13,Baseline,Present,7
40,14,Baseline,Present,6
40,15,Baseline,Present,7
40,16,Baseline,Present,5
40,17,Baseline,Present,6
40,18,Baseline,Present,7
40,7,Treatment,Absent,6
40,8,Treatment,Absent,5
40,9,Treatment,Absent,5
40,10,Treatment,Absent,6
40,11,Treatment,Absent,6
40,12,Treatment,Absent,4
40,1,Treatment,Present,3
40,2,Treatment,Present,1
40,3,Treatment,Present,2
40,4,Treatment,Present,1
40,5,Treatment,Present,4
40,6,Treatment,Present,4
