"","experiment","subject","item","condition","selection","selectCode"
"149","first",13,5,"Baseline","Option 1",1
"150","first",13,6,"Baseline","Option 2",0
"151","first",13,7,"Baseline","Option 2",0
"152","first",13,8,"Baseline","Option 2",0
"153","first",13,9,"Baseline","Option 2",0
"154","first",13,10,"Baseline","Option 2",0
"155","first",13,11,"Baseline","Option 1",1
"156","first",13,12,"Baseline","Option 1",1
"157","first",14,1,"Baseline","Option 2",0
"158","first",14,2,"Baseline","Option 1",1
"159","first",14,3,"Baseline","Option 1",1
"160","first",14,4,"Baseline","Option 1",1
"161","first",14,5,"Baseline","Option 1",1
"162","first",14,6,"Baseline","Option 1",1
"163","first",14,7,"Baseline","Option 1",1
"164","first",14,8,"Baseline","Option 2",0
"165","first",14,9,"Baseline","Option 2",0
"166","first",14,10,"Baseline","Option 1",1
"167","first",14,11,"Baseline","Option 1",1
"168","first",14,12,"Baseline","Option 1",1
"169","first",15,1,"Baseline","Option 1",1
"170","first",15,2,"Baseline","Option 1",1
"171","first",15,3,"Baseline","Option 1",1
"172","first",15,4,"Baseline","Option 2",0
"173","first",15,5,"Baseline","Option 1",1
"174","first",15,6,"Baseline","Option 1",1
"175","first",15,7,"Baseline","Option 2",0
"176","first",15,8,"Baseline","Option 2",0
"177","first",15,9,"Baseline","Option 2",0
"178","first",15,10,"Baseline","Option 2",0
"179","first",15,11,"Baseline","Option 2",0
"180","first",15,12,"Baseline","Option 2",0
"181","first",16,1,"Baseline","Option 1",1
"182","first",16,2,"Baseline","Option 1",1
"183","first",16,3,"Baseline","Option 2",0
"184","first",16,4,"Baseline","Option 1",1
"185","first",16,5,"Baseline","Option 2",0
"186","first",16,6,"Baseline","Option 1",1
"187","first",16,7,"Baseline","Option 2",0
"188","first",16,8,"Baseline","Option 1",1
"189","first",16,9,"Baseline","Option 2",0
"190","first",16,10,"Baseline","Option 2",0
"191","first",16,11,"Baseline","Option 1",1
"192","first",16,12,"Baseline","Option 1",1
"193","first",17,1,"Baseline","Option 1",1
"194","first",17,2,"Baseline","Option 2",0
"195","first",17,3,"Baseline","Option 1",1
"196","first",17,4,"Baseline","Option 1",1
"197","first",17,5,"Baseline","Option 1",1
"198","first",17,6,"Baseline","Option 2",0
"199","first",17,7,"Baseline","Option 2",0
"200","first",17,8,"Baseline","Option 1",1
"201","first",17,9,"Baseline","Option 1",1
"202","first",17,10,"Baseline","Option 1",1
"203","first",17,11,"Baseline","Option 2",0
"204","first",17,12,"Baseline","Option 1",1
"205","first",18,1,"Baseline","Option 2",0
"206","first",18,2,"Baseline","Option 2",0
"207","first",18,3,"Baseline","Option 1",1
"208","first",18,4,"Baseline","Option 1",1
"209","first",18,5,"Baseline","Option 2",0
"210","first",18,6,"Baseline","Option 1",1
"211","first",18,7,"Baseline","Option 1",1
"212","first",18,8,"Baseline","Option 1",1
"213","first",18,9,"Baseline","Option 2",0
"214","first",18,10,"Baseline","Option 2",0
"215","first",18,11,"Baseline","Option 1",1
"216","first",18,12,"Baseline","Option 1",1
"217","first",19,1,"Baseline","Option 1",1
"218","first",19,2,"Baseline","Option 2",0
"219","first",19,3,"Baseline","Option 1",1
"220","first",19,4,"Baseline","Option 2",0
"221","first",19,5,"Baseline","Option 2",0
"222","first",19,6,"Baseline","Option 2",0
"223","first",19,7,"Baseline","Option 1",1
"224","first",19,8,"Baseline","Option 1",1
"225","first",19,9,"Baseline","Option 1",1
"226","first",19,10,"Baseline","Option 1",1
"227","first",19,11,"Baseline","Option 1",1
"228","first",19,12,"Baseline","Option 1",1
"229","first",20,1,"Baseline","Option 1",1
"230","first",20,2,"Baseline","Option 1",1
"231","first",20,3,"Baseline","Option 1",1
"232","first",20,4,"Baseline","Option 2",0
"233","first",20,5,"Baseline","Option 1",1
"234","first",20,6,"Baseline","Option 1",1
"235","first",20,7,"Baseline","Option 1",1
"236","first",20,8,"Baseline","Option 2",0
"237","first",20,9,"Baseline","Option 2",0
"238","first",20,10,"Baseline","Option 2",0
"239","first",20,11,"Baseline","Option 2",0
"240","first",20,12,"Baseline","Option 2",0
"241","first",1,13,"Treatment","Option 1",1
"242","first",1,14,"Treatment","Option 1",1
"243","first",1,15,"Treatment","Option 1",1
"244","first",1,16,"Treatment","Option 1",1
"245","first",1,17,"Treatment","Option 2",0
"246","first",1,18,"Treatment","Option 2",0
"247","first",1,19,"Treatment","Option 2",0
"248","first",1,20,"Treatment","Option 1",1
"249","first",1,21,"Treatment","Option 1",1
"250","first",1,22,"Treatment","Option 1",1
"251","first",1,23,"Treatment","Option 2",0
"252","first",1,24,"Treatment","Option 1",1
"253","first",2,13,"Treatment","Option 1",1
"254","first",2,14,"Treatment","Option 1",1
"255","first",2,15,"Treatment","Option 2",0
"256","first",2,16,"Treatment","Option 2",0
"257","first",2,17,"Treatment","Option 2",0
"258","first",2,18,"Treatment","Option 1",1
"259","first",2,19,"Treatment","Option 2",0
"260","first",2,20,"Treatment","Option 1",1
"261","first",2,21,"Treatment","Option 1",1
"262","first",2,22,"Treatment","Option 1",1
"263","first",2,23,"Treatment","Option 1",1
"264","first",2,24,"Treatment","Option 1",1
"265","first",3,13,"Treatment","Option 1",1
"266","first",3,14,"Treatment","Option 1",1
"267","first",3,15,"Treatment","Option 1",1
"268","first",3,16,"Treatment","Option 2",0
"269","first",3,17,"Treatment","Option 1",1
"270","first",3,18,"Treatment","Option 1",1
"271","first",3,19,"Treatment","Option 1",1
"272","first",3,20,"Treatment","Option 1",1
"273","first",3,21,"Treatment","Option 2",0
"274","first",3,22,"Treatment","Option 1",1
"275","first",3,23,"Treatment","Option 2",0
"276","first",3,24,"Treatment","Option 1",1
"277","first",4,13,"Treatment","Option 1",1
"278","first",4,14,"Treatment","Option 2",0
"279","first",4,15,"Treatment","Option 1",1
"280","first",4,16,"Treatment","Option 2",0
"281","first",4,17,"Treatment","Option 1",1
"282","first",4,18,"Treatment","Option 1",1
"283","first",4,19,"Treatment","Option 1",1
"284","first",4,20,"Treatment","Option 1",1
"285","first",4,21,"Treatment","Option 1",1
"286","first",4,22,"Treatment","Option 1",1
"287","first",4,23,"Treatment","Option 2",0
"288","first",4,24,"Treatment","Option 1",1
"289","first",5,13,"Treatment","Option 1",1
"290","first",5,14,"Treatment","Option 2",0
"291","first",5,15,"Treatment","Option 1",1
"292","first",5,16,"Treatment","Option 2",0
"293","first",5,17,"Treatment","Option 2",0
"294","first",5,18,"Treatment","Option 1",1
"295","first",5,19,"Treatment","Option 2",0
"296","first",5,20,"Treatment","Option 2",0
"297","first",5,21,"Treatment","Option 2",0
"298","first",5,22,"Treatment","Option 1",1
"299","first",5,23,"Treatment","Option 1",1
"300","first",5,24,"Treatment","Option 1",1
"301","first",6,13,"Treatment","Option 1",1
"302","first",6,14,"Treatment","Option 1",1
"303","first",6,15,"Treatment","Option 2",0
"304","first",6,16,"Treatment","Option 1",1
"305","first",6,17,"Treatment","Option 2",0
"306","first",6,18,"Treatment","Option 2",0
"307","first",6,19,"Treatment","Option 1",1
"308","first",6,20,"Treatment","Option 1",1
"309","first",6,21,"Treatment","Option 1",1
"310","first",6,22,"Treatment","Option 2",0
"311","first",6,23,"Treatment","Option 1",1
"312","first",6,24,"Treatment","Option 1",1
"313","first",7,13,"Treatment","Option 1",1
"314","first",7,14,"Treatment","Option 1",1
"315","first",7,15,"Treatment","Option 1",1
"316","first",7,16,"Treatment","Option 1",1
"317","first",7,17,"Treatment","Option 2",0
"318","first",7,18,"Treatment","Option 1",1
"319","first",7,19,"Treatment","Option 1",1
"320","first",7,20,"Treatment","Option 1",1
"321","first",7,21,"Treatment","Option 1",1
"322","first",7,22,"Treatment","Option 1",1
"323","first",7,23,"Treatment","Option 1",1
"324","first",7,24,"Treatment","Option 2",0
"325","first",8,13,"Treatment","Option 1",1
"326","first",8,14,"Treatment","Option 1",1
"327","first",8,15,"Treatment","Option 2",0
"328","first",8,16,"Treatment","Option 1",1
"329","first",8,17,"Treatment","Option 1",1
"330","first",8,18,"Treatment","Option 1",1
"331","first",8,19,"Treatment","Option 1",1
"332","first",8,20,"Treatment","Option 1",1
"333","first",8,21,"Treatment","Option 1",1
"334","first",8,22,"Treatment","Option 1",1
"335","first",8,23,"Treatment","Option 1",1
"336","first",8,24,"Treatment","Option 1",1
"337","first",9,13,"Treatment","Option 1",1
"338","first",9,14,"Treatment","Option 2",0
"339","first",9,15,"Treatment","Option 1",1
"340","first",9,16,"Treatment","Option 1",1
"341","first",9,17,"Treatment","Option 1",1
"342","first",9,18,"Treatment","Option 1",1
"343","first",9,19,"Treatment","Option 2",0
"344","first",9,20,"Treatment","Option 1",1
"345","first",9,21,"Treatment","Option 1",1
"346","first",9,22,"Treatment","Option 1",1
"347","first",9,23,"Treatment","Option 1",1
"348","first",9,24,"Treatment","Option 1",1
"349","first",10,13,"Treatment","Option 1",1
"350","first",10,14,"Treatment","Option 1",1
"351","first",10,15,"Treatment","Option 1",1
"352","first",10,16,"Treatment","Option 1",1
"353","first",10,17,"Treatment","Option 2",0
"354","first",10,18,"Treatment","Option 1",1
"355","first",10,19,"Treatment","Option 2",0
"356","first",10,20,"Treatment","Option 1",1
"357","first",10,21,"Treatment","Option 1",1
"358","first",10,22,"Treatment","Option 1",1
"359","first",10,23,"Treatment","Option 2",0
"360","first",10,24,"Treatment","Option 1",1
"361","first",11,13,"Treatment","Option 1",1
"362","first",11,14,"Treatment","Option 2",0
"363","first",11,15,"Treatment","Option 1",1
"364","first",11,16,"Treatment","Option 1",1
"365","first",11,17,"Treatment","Option 2",0
"366","first",11,18,"Treatment","Option 1",1
"367","first",11,19,"Treatment","Option 1",1
"368","first",11,20,"Treatment","Option 1",1
"369","first",11,21,"Treatment","Option 1",1
"370","first",11,22,"Treatment","Option 1",1
"371","first",11,23,"Treatment","Option 1",1
"372","first",11,24,"Treatment","Option 1",1
"373","first",12,13,"Treatment","Option 1",1
"374","first",12,14,"Treatment","Option 1",1
"375","first",12,15,"Treatment","Option 1",1
"376","first",12,16,"Treatment","Option 1",1
"377","first",12,17,"Treatment","Option 1",1
"378","first",12,18,"Treatment","Option 1",1
"379","first",12,19,"Treatment","Option 1",1
"380","first",12,20,"Treatment","Option 1",1
"381","first",12,21,"Treatment","Option 1",1
"382","first",12,22,"Treatment","Option 2",0
"383","first",12,23,"Treatment","Option 1",1
"384","first",12,24,"Treatment","Option 2",0
"385","first",13,13,"Treatment","Option 1",1
"386","first",13,14,"Treatment","Option 1",1
"387","first",13,15,"Treatment","Option 2",0
"388","first",13,16,"Treatment","Option 1",1
"389","first",13,17,"Treatment","Option 1",1
"390","first",13,18,"Treatment","Option 1",1
"391","first",13,19,"Treatment","Option 1",1
"392","first",13,20,"Treatment","Option 2",0
"393","first",13,21,"Treatment","Option 1",1
"394","first",13,22,"Treatment","Option 1",1
"395","first",13,23,"Treatment","Option 1",1
"396","first",13,24,"Treatment","Option 1",1
"397","first",14,13,"Treatment","Option 1",1
"398","first",14,14,"Treatment","Option 1",1
"399","first",14,15,"Treatment","Option 1",1
"400","first",14,16,"Treatment","Option 1",1
"401","first",14,17,"Treatment","Option 2",0
"402","first",14,18,"Treatment","Option 1",1
"403","first",14,19,"Treatment","Option 1",1
"404","first",14,20,"Treatment","Option 1",1
"405","first",14,21,"Treatment","Option 1",1
"406","first",14,22,"Treatment","Option 2",0
"407","first",14,23,"Treatment","Option 2",0
"408","first",14,24,"Treatment","Option 2",0
"409","first",15,13,"Treatment","Option 2",0
"410","first",15,14,"Treatment","Option 2",0
"411","first",15,15,"Treatment","Option 1",1
"412","first",15,16,"Treatment","Option 1",1
"413","first",15,17,"Treatment","Option 1",1
"414","first",15,18,"Treatment","Option 2",0
"415","first",15,19,"Treatment","Option 1",1
"416","first",15,20,"Treatment","Option 1",1
"417","first",15,21,"Treatment","Option 1",1
"418","first",15,22,"Treatment","Option 1",1
"419","first",15,23,"Treatment","Option 1",1
"420","first",15,24,"Treatment","Option 1",1
"421","first",16,13,"Treatment","Option 1",1
"422","first",16,14,"Treatment","Option 1",1
"423","first",16,15,"Treatment","Option 1",1
"424","first",16,16,"Treatment","Option 1",1
"425","first",16,17,"Treatment","Option 2",0
"426","first",16,18,"Treatment","Option 1",1
"427","first",16,19,"Treatment","Option 2",0
"428","first",16,20,"Treatment","Option 2",0
"429","first",16,21,"Treatment","Option 1",1
"430","first",16,22,"Treatment","Option 1",1
"431","first",16,23,"Treatment","Option 1",1
"432","first",16,24,"Treatment","Option 1",1
"433","first",17,13,"Treatment","Option 1",1
"434","first",17,14,"Treatment","Option 1",1
"435","first",17,15,"Treatment","Option 1",1
"436","first",17,16,"Treatment","Option 1",1
"437","first",17,17,"Treatment","Option 1",1
"438","first",17,18,"Treatment","Option 2",0
"439","first",17,19,"Treatment","Option 1",1
"440","first",17,20,"Treatment","Option 1",1
"441","first",17,21,"Treatment","Option 1",1
"442","first",17,22,"Treatment","Option 1",1
"443","first",17,23,"Treatment","Option 1",1
"444","first",17,24,"Treatment","Option 1",1
"445","first",18,13,"Treatment","Option 1",1
"446","first",18,14,"Treatment","Option 1",1
"447","first",18,15,"Treatment","Option 1",1
"448","first",18,16,"Treatment","Option 1",1
"449","first",18,17,"Treatment","Option 2",0
"450","first",18,18,"Treatment","Option 1",1
"451","first",18,19,"Treatment","Option 1",1
"452","first",18,20,"Treatment","Option 1",1
"453","first",18,21,"Treatment","Option 1",1
"454","first",18,22,"Treatment","Option 1",1
"455","first",18,23,"Treatment","Option 1",1
"456","first",18,24,"Treatment","Option 1",1
"457","first",19,13,"Treatment","Option 1",1
"458","first",19,14,"Treatment","Option 1",1
"459","first",19,15,"Treatment","Option 2",0
"460","first",19,16,"Treatment","Option 1",1
"461","first",19,17,"Treatment","Option 1",1
"462","first",19,18,"Treatment","Option 1",1
"463","first",19,19,"Treatment","Option 1",1
"464","first",19,20,"Treatment","Option 1",1
"465","first",19,21,"Treatment","Option 1",1
"466","first",19,22,"Treatment","Option 1",1
"467","first",19,23,"Treatment","Option 2",0
"468","first",19,24,"Treatment","Option 2",0
"469","first",20,13,"Treatment","Option 1",1
"470","first",20,14,"Treatment","Option 2",0
"471","first",20,15,"Treatment","Option 1",1
"472","first",20,16,"Treatment","Option 2",0
"473","first",20,17,"Treatment","Option 1",1
"474","first",20,18,"Treatment","Option 1",1
"475","first",20,19,"Treatment","Option 2",0
"476","first",20,20,"Treatment","Option 1",1
"477","first",20,21,"Treatment","Option 2",0
"478","first",20,22,"Treatment","Option 1",1
"479","first",20,23,"Treatment","Option 2",0
"480","first",20,24,"Treatment","Option 2",0
"481","second",1,1,"Baseline","Option 1",1
"482","second",1,2,"Baseline","Option 1",1
"483","second",1,3,"Baseline","Option 2",0
"484","second",1,4,"Baseline","Option 2",0
"485","second",1,5,"Baseline","Option 1",1
"486","second",1,6,"Baseline","Option 1",1
"487","second",1,7,"Baseline","Option 2",0
"488","second",1,8,"Baseline","Option 1",1
"489","second",1,9,"Baseline","Option 2",0
"490","second",1,10,"Baseline","Option 2",0
"491","second",1,11,"Baseline","Option 1",1
"492","second",1,12,"Baseline","Option 2",0
"493","second",2,1,"Baseline","Option 2",0
"494","second",2,2,"Baseline","Option 2",0
"495","second",2,3,"Baseline","Option 1",1
"496","second",2,4,"Baseline","Option 2",0
"497","second",2,5,"Baseline","Option 2",0
"498","second",2,6,"Baseline","Option 2",0
"499","second",2,7,"Baseline","Option 2",0
"500","second",2,8,"Baseline","Option 1",1
"501","second",2,9,"Baseline","Option 1",1
"502","second",2,10,"Baseline","Option 1",1
"503","second",2,11,"Baseline","Option 1",1
"504","second",2,12,"Baseline","Option 1",1
"505","second",3,1,"Baseline","Option 1",1
"506","second",3,2,"Baseline","Option 2",0
"507","second",3,3,"Baseline","Option 1",1
"508","second",3,4,"Baseline","Option 2",0
"509","second",3,5,"Baseline","Option 2",0
"510","second",3,6,"Baseline","Option 2",0
"511","second",3,7,"Baseline","Option 2",0
"512","second",3,8,"Baseline","Option 2",0
"513","second",3,9,"Baseline","Option 2",0
"514","second",3,10,"Baseline","Option 2",0
"515","second",3,11,"Baseline","Option 1",1
"516","second",3,12,"Baseline","Option 2",0
"517","second",4,1,"Baseline","Option 1",1
"518","second",4,2,"Baseline","Option 2",0
"519","second",4,3,"Baseline","Option 2",0
"520","second",4,4,"Baseline","Option 2",0
"521","second",4,5,"Baseline","Option 1",1
"522","second",4,6,"Baseline","Option 1",1
"523","second",4,7,"Baseline","Option 1",1
"524","second",4,8,"Baseline","Option 2",0
"525","second",4,9,"Baseline","Option 2",0
"526","second",4,10,"Baseline","Option 2",0
"527","second",4,11,"Baseline","Option 2",0
"528","second",4,12,"Baseline","Option 1",1
"529","second",5,1,"Baseline","Option 1",1
"530","second",5,2,"Baseline","Option 2",0
"531","second",5,3,"Baseline","Option 1",1
"532","second",5,4,"Baseline","Option 2",0
"533","second",5,5,"Baseline","Option 1",1
"534","second",5,6,"Baseline","Option 1",1
"535","second",5,7,"Baseline","Option 1",1
"536","second",5,8,"Baseline","Option 2",0
"537","second",5,9,"Baseline","Option 2",0
"538","second",5,10,"Baseline","Option 1",1
"539","second",5,11,"Baseline","Option 1",1
"540","second",5,12,"Baseline","Option 1",1
"541","second",6,1,"Baseline","Option 2",0
"542","second",6,2,"Baseline","Option 1",1
"543","second",6,3,"Baseline","Option 2",0
"544","second",6,4,"Baseline","Option 1",1
"545","second",6,5,"Baseline","Option 2",0
"546","second",6,6,"Baseline","Option 2",0
"547","second",6,7,"Baseline","Option 2",0
"548","second",6,8,"Baseline","Option 2",0
"549","second",6,9,"Baseline","Option 2",0
"550","second",6,10,"Baseline","Option 1",1
"551","second",6,11,"Baseline","Option 1",1
"552","second",6,12,"Baseline","Option 1",1
"553","second",7,1,"Baseline","Option 1",1
"554","second",7,2,"Baseline","Option 2",0
"555","second",7,3,"Baseline","Option 1",1
"556","second",7,4,"Baseline","Option 2",0
"557","second",7,5,"Baseline","Option 2",0
"558","second",7,6,"Baseline","Option 2",0
"559","second",7,7,"Baseline","Option 1",1
"560","second",7,8,"Baseline","Option 2",0
"561","second",7,9,"Baseline","Option 2",0
"562","second",7,10,"Baseline","Option 1",1
"563","second",7,11,"Baseline","Option 1",1
"564","second",7,12,"Baseline","Option 2",0
"565","second",8,1,"Baseline","Option 1",1
"566","second",8,2,"Baseline","Option 1",1
"567","second",8,3,"Baseline","Option 1",1
"568","second",8,4,"Baseline","Option 1",1
"569","second",8,5,"Baseline","Option 1",1
"570","second",8,6,"Baseline","Option 1",1
"571","second",8,7,"Baseline","Option 1",1
"572","second",8,8,"Baseline","Option 2",0
"573","second",8,9,"Baseline","Option 2",0
"574","second",8,10,"Baseline","Option 1",1
"575","second",8,11,"Baseline","Option 2",0
"576","second",8,12,"Baseline","Option 2",0
"577","second",9,1,"Baseline","Option 2",0
"578","second",9,2,"Baseline","Option 1",1
"579","second",9,3,"Baseline","Option 2",0
"580","second",9,4,"Baseline","Option 1",1
"581","second",9,5,"Baseline","Option 2",0
"582","second",9,6,"Baseline","Option 2",0
"583","second",9,7,"Baseline","Option 1",1
"584","second",9,8,"Baseline","Option 2",0
"585","second",9,9,"Baseline","Option 1",1
"586","second",9,10,"Baseline","Option 1",1
"587","second",9,11,"Baseline","Option 2",0
"588","second",9,12,"Baseline","Option 2",0
"589","second",10,1,"Baseline","Option 2",0
"590","second",10,2,"Baseline","Option 1",1
"591","second",10,3,"Baseline","Option 2",0
"592","second",10,4,"Baseline","Option 1",1
"593","second",10,5,"Baseline","Option 1",1
"594","second",10,6,"Baseline","Option 1",1
"595","second",10,7,"Baseline","Option 1",1
"596","second",10,8,"Baseline","Option 1",1
"597","second",10,9,"Baseline","Option 2",0
"598","second",10,10,"Baseline","Option 2",0
"599","second",10,11,"Baseline","Option 2",0
"600","second",10,12,"Baseline","Option 1",1
"601","second",11,1,"Baseline","Option 2",0
"602","second",11,2,"Baseline","Option 1",1
"603","second",11,3,"Baseline","Option 2",0
"604","second",11,4,"Baseline","Option 2",0
"605","second",11,5,"Baseline","Option 2",0
"606","second",11,6,"Baseline","Option 2",0
"607","second",11,7,"Baseline","Option 1",1
"608","second",11,8,"Baseline","Option 1",1
"609","second",11,9,"Baseline","Option 1",1
"610","second",11,10,"Baseline","Option 2",0
"611","second",11,11,"Baseline","Option 2",0
"612","second",11,12,"Baseline","Option 2",0
"613","second",12,1,"Baseline","Option 1",1
"614","second",12,2,"Baseline","Option 1",1
"615","second",12,3,"Baseline","Option 1",1
"616","second",12,4,"Baseline","Option 2",0
"617","second",12,5,"Baseline","Option 2",0
"618","second",12,6,"Baseline","Option 1",1
"619","second",12,7,"Baseline","Option 2",0
"620","second",12,8,"Baseline","Option 2",0
"621","second",12,9,"Baseline","Option 2",0
"622","second",12,10,"Baseline","Option 2",0
"623","second",12,11,"Baseline","Option 2",0
"624","second",12,12,"Baseline","Option 2",0
"625","second",13,1,"Baseline","Option 1",1
"626","second",13,2,"Baseline","Option 1",1
"627","second",13,3,"Baseline","Option 2",0
"628","second",13,4,"Baseline","Option 2",0
"629","second",13,5,"Baseline","Option 2",0
"630","second",13,6,"Baseline","Option 2",0
"631","second",13,7,"Baseline","Option 2",0
"632","second",13,8,"Baseline","Option 1",1
"633","second",13,9,"Baseline","Option 2",0
"634","second",13,10,"Baseline","Option 2",0
